0,1,2,3,4,5,6,7,8,9,10,11,12
Alabama,140,35,12,22,1,105.0,39.0,66.0,0,Rep,Rep,Rep
Alaska,60,20,10,10,0,40.0,16.0,24.0,0,Split,Rep,Divided
Arizona,90,30,9,21,0,60.0,20.0,40.0,0,Rep,Rep,Rep
Arkansas,135,35,20,15,0,100.0,55.0,44.0,1v,Dem,Dem,Dem
California,120,40,25,15,0,80.0,52.0,28.0,0,Dem,Dem,Dem
Colorado,100,35,20,15,0,65.0,32.0,33.0,0,Split,Dem,Divided
Connecticut,187,36,23,13,0,151.0,100.0,51.0,0,Dem,Dem,Dem
Delaware,62,21,14,7,0,41.0,26.0,15.0,0,Dem,Dem,Dem
Florida,160,40,12,28,0,120.0,39.0,81.0,0,Rep,Rep,Rep
Georgia,236,56,20,36,0,180.0,66.0,113.0,1,Rep,Rep,Rep
Hawaii,76,25,24,1,0,51.0,43.0,8.0,0,Dem,Dem,Dem
Idaho,105,35,7,28,0,70.0,13.0,57.0,0,Rep,Rep,Rep
Illinois,177,59,35,24,0,118.0,64.0,54.0,0,Dem,Dem,Dem
Indiana,150,50,13,37,0,100.0,40.0,59.0,1u,Rep,Rep,Rep
Iowa,150,50,26,24,0,100.0,40.0,60.0,0,Split,Rep,Divided
Kansas,165,40,8,32,0,125.0,33.0,92.0,0,Rep,Rep,Rep
Kentucky,138,38,15,22,1,100.0,58.0,42.0,0,Split,Dem,Divided
Louisiana,144,39,20,18,1,105.0,49.0,52.0,4,Split,Rep,Divided
Maine,186,35,14,20,1,151.0,72.0,78.0,1,Rep,Rep,Rep
Maryland,188,47,35,12,0,141.0,98.0,43.0,0,Dem,Dem,Dem
Massachusetts,200,40,36,4,0,160.0,128.0,31.0,1u,Dem,Dem,Dem
Michigan,148,38,12,26,0,110.0,47.0,63.0,0,Rep,Rep,Rep
Minnesota,201,67,30,37,0,134.0,62.0,72.0,0,Rep,Dem,Divided
Mississippi,174,52,26,25,1v,122.0,72.0,50.0,0,Dem,Rep,Divided
Missouri,197,34,8,26,0,163.0,57.0,106.0,0,Rep,Dem,Divided
Montana,150,50,22,28,0,100.0,32.0,68.0,0,Rep,Dem,Divided
Nebraska,49,49,49,Unicameral,,,,,,,Rep,
Nevada,63,21,11,10,0,42.0,26.0,16.0,0,Dem,Rep,Divided
New-Hampshire,424,24,5,19,0,400.0,102.0,298.0,0,Rep,Dem,Divided
New-Jersey,120,40,24,16,0,80.0,47.0,33.0,0,Dem,Rep,Divided
New-Mexico,112,42,27,15,0,70.0,37.0,33.0,0,Dem,Rep,Divided
New-York,212,62,30,32,0,150.0,100.0,48.0,2u,Split,Dem,Divided
North-Carolina,170,50,19,31,0,120.0,52.0,67.0,1,Rep,Dem,Divided
North-Dakota,141,47,12,35,0,94.0,25.0,69.0,0,Rep,Rep,Rep
Ohio,132,33,10,23,0,99.0,40.0,59.0,0,Rep,Rep,Rep
Oklahoma,149,48,16,32,0,101.0,31.0,70.0,0,Rep,Rep,Rep
Oregon,90,30,16,14,0,60.0,30.0,30.0,0,Split,Dem,Divided
Pennsylvania,253,50,20,30,0,203.0,91.0,112.0,0,Rep,Rep,Rep
Rhode-Island,113,38,29,8,1,75.0,65.0,10.0,0,Dem,Ind,Divided
South-Carolina,170,46,19,27,0,124.0,48.0,75.0,1v,Rep,Rep,Rep
South-Dakota,105,35,5,30,0,70.0,19.0,50.0,1,Rep,Rep,Rep
Tennessee,132,33,13,19,1v,99.0,33.0,64.0,"1,1v",Rep,Rep,Rep
Texas,181,31,12,19,0,150.0,49.0,101.0,0,Rep,Rep,Rep
Utah,104,29,7,22,0,75.0,17.0,58.0,0,Rep,Rep,Rep
Vermont,180,30,22,8,0,150.0,95.0,48.0,7,Dem,Dem,Dem
Virginia,140,40,22,18,0,100.0,39.0,59.0,2,Split,Rep,Divided
Washington,147,49,27,22,0,98.0,56.0,42.0,0,Dem,Dem,Dem
West-Virginia,134,34,28,6,0,100.0,65.0,35.0,0,Dem,Dem,Dem
Wisconsin,132,33,14,19,0,99.0,38.0,60.0,1,Rep,Rep,Rep
Wyoming,90,30,4,26,0,60.0,10.0,50.0,0,Rep,Rep,Rep
